Date,Value,year,month
199106,66.2,1991,6
199107,75.4,1991,7
199108,73.2,1991,8
199109,72.2,1991,9
199110,64.5,1991,10
199111,51.6,1991,11
199112,44.0,1991,12
199201,43.2,1992,1
199202,49.1,1992,2
199203,50.8,1992,3
199204,58.9,1992,4
199205,67.0,1992,5
199206,69.0,1992,6
199207,73.8,1992,7
199208,76.2,1992,8
199209,70.8,1992,9
199210,62.6,1992,10
199211,49.5,1992,11
199212,40.3,1992,12
199301,41.3,1993,1
199302,44.0,1993,2
199303,52.9,1993,3
199304,55.2,1993,4
199305,62.3,1993,5
199306,68.0,1993,6
199307,72.2,1993,7
199308,73.2,1993,8
199309,69.5,1993,9
199310,61.4,1993,10
199311,48.8,1993,11
199312,43.1,1993,12
199401,45.7,1994,1
199402,43.7,1994,2
199403,52.9,1994,3
199404,55.9,1994,4
199405,61.3,1994,5
199406,70.9,1994,6
199407,76.5,1994,7
199408,75.8,1994,8
199409,69.8,1994,9
199410,58.6,1994,10
199411,42.9,1994,11
199412,42.1,1994,12
199501,44.7,1995,1
199502,51.3,1995,2
199503,48.9,1995,3
199504,52.9,1995,4
199505,58.4,1995,5
199506,66.1,1995,6
199507,74.2,1995,7
199508,75.0,1995,8
199509,71.2,1995,9
199510,62.2,1995,10
199511,55.9,1995,11
199512,46.4,1995,12
199601,45.6,1996,1
199602,48.8,1996,2
199603,51.5,1996,3
199604,56.8,1996,4
199605,62.5,1996,5
199606,70.4,1996,6
199607,78.1,1996,7
199608,76.7,1996,8
199609,68.4,1996,9
199610,59.2,1996,10
199611,51.1,1996,11
199612,45.6,1996,12
199701,44.5,1997,1
199702,46.6,1997,2
199703,54.0,1997,3
199704,55.6,1997,4
199705,67.6,1997,5
199706,68.4,1997,6
199707,74.0,1997,7
199708,74.9,1997,8
199709,70.8,1997,9
199710,59.0,1997,10
199711,51.6,1997,11
199712,42.4,1997,12
199801,45.1,1998,1
199802,43.6,1998,2
199803,49.2,1998,3
199804,51.6,1998,4
199805,54.9,1998,5
199806,65.2,1998,6
199807,76.0,1998,7
199808,77.2,1998,8
199809,69.2,1998,9
199810,57.7,1998,10
199811,48.8,1998,11
199812,42.0,1998,12
199901,45.0,1999,1
199902,44.9,1999,2
199903,47.5,1999,3
199904,51.3,1999,4
199905,60.4,1999,5
199906,67.8,1999,6
199907,73.3,1999,7
199908,72.6,1999,8
199909,70.7,1999,9
199910,63.7,1999,10
199911,53.0,1999,11
199912,45.3,1999,12
200001,45.8,2000,1
200002,47.2,2000,2
200003,50.2,2000,3
200004,57.8,2000,4
200005,63.9,2000,5
200006,72.2,2000,6
200007,73.5,2000,7
200008,75.0,2000,8
200009,69.1,2000,9
200010,58.4,2000,10
200011,46.0,2000,11
200012,46.5,2000,12
200101,42.3,2001,1
200102,43.1,2001,2
200103,52.6,2001,3
200104,52.0,2001,4
200105,68.6,2001,5
200106,71.4,2001,6
200107,74.2,2001,7
200108,76.0,2001,8
200109,71.3,2001,9
200110,63.6,2001,10
200111,51.6,2001,11
200112,42.8,2001,12
200201,42.4,2002,1
200202,48.2,2002,2
200203,48.5,2002,3
200204,56.0,2002,4
200205,61.5,2002,5
200206,71.2,2002,6
200207,77.4,2002,7
200208,74.4,2002,8
200209,70.9,2002,9
200210,59.4,2002,10
200211,52.3,2002,11
200212,44.0,2002,12
